url,type,creation_date,updated_date,expiration_date,domain_name,registrar_url
br-icloud.com.br,phishing,2024-01-10 00:00:00,2024-12-19 00:00:00,2026-01-10 00:00:00,br-icloud.com.br,
mp3raid.com/music/krizz_kaliko.html,benign,2000-02-14 03:25:53,2024-02-14 10:39:41,2026-02-14 03:25:53,MP3RAID.COM,"['http://www.godaddy.com', 'https://www.godaddy.com']"
bopsecrets.org/rexroth/cr/1.htm,benign,2000-01-25 22:48:55,2024-12-01 07:52:25,2028-01-25 22:48:55,bopsecrets.org,http://www.networksolutions.com
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement,2025-04-12 00:00:00,,,garage-pirenne.be,
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,defacement,2024-12-01 17:37:48,2024-12-01 17:43:54,2025-12-01 17:37:48,ADVENTURE-NICARAGUA.NET,http://www.above.com
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign,2015-02-09 18:46:12,2024-12-24 05:48:20,2026-02-09 18:46:12,BUZZFIL.NET,"['http://www.ovh.com', 'https://ovh.com']"
espn.go.com/nba/player/_/id/3457/brandon-rush,benign,1998-01-09 05:00:00,2024-12-09 05:59:21,2026-01-08 05:00:00,GO.COM,"['http://cscdbs.com', 'www.cscprotectsbrands.com']"
yourbittorrent.com/?q=anthony-hamilton-soulife,benign,2005-10-25 18:59:07,2024-06-03 04:46:34,2025-10-25 18:59:07,YOURBITTORRENT.COM,http://www.tldregistrarsolutions.com
http://www.pashminaonline.com/pure-pashminas,defacement,2011-02-18 19:37:44,2025-02-19 08:38:02,2026-02-18 19:37:44,PASHMINAONLINE.COM,"['http://www.key-systems.net', 'http://www.transip.nl']"
allmusic.com/album/crazy-from-the-heat-r16990,benign,1994-06-02 04:00:00,2025-02-28 17:10:20,2025-06-01 04:00:00,ALLMUSIC.COM,http://www.easydns.com
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign,2007-10-02 18:16:19,2024-10-03 17:00:54,2025-10-02 18:16:19,CORPORATIONWIKI.COM,"['http://www.godaddy.com', 'https://www.godaddy.com']"
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement,,,,,
myspace.com/video/vid/30602581,benign,1996-02-22 05:00:00,2023-01-17 00:16:21,2029-02-23 05:00:00,MYSPACE.COM,"['http://www.godaddy.com', 'https://www.godaddy.com']"
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement,,,,,
http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement,,,,,
http://larcadelcarnevale.com/catalogo/palloncini,defacement,,,,,
quickfacts.census.gov/qfd/maps/iowa_map.html,benign,1997-10-02 01:29:21,2025-04-04 00:42:47,2025-09-30 04:00:00,census.gov,https://get.gov
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign,2000-11-09 14:43:14,2025-04-08 15:01:24,2025-12-01 05:00:00,nugget.ca,webnames.ca
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,2002-11-02 15:38:11,2024-10-01 11:01:31,2025-11-02 15:38:11,LINKEDIN.COM,http://www.markmonitor.com
http://www.vnic.co/khach-hang.html,defacement,2010-07-22 06:03:09,2025-04-20 07:45:56,2025-07-21 23:59:59,vnic.co,nswhois.onlinenic.com
baseball-reference.com/players/h/harrige01.shtml,benign,2000-04-18 19:08:23,2022-11-30 17:10:20,2030-04-18 19:08:23,BASEBALL-REFERENCE.COM,"['http://registrar.amazon.com', 'https://registrar.amazon.com']"
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing,,,,,
192.com/atoz/people/oakley/patrick/,benign,1997-06-13 04:00:00,2024-06-12 11:24:47,2029-06-12 04:00:00,192.COM,"['http://www.meshdigital.com', 'https://www.123-reg.co.uk']"
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign,1994-01-18 05:00:00,2024-12-18 11:11:19,2027-01-19 05:00:00,NYTIMES.COM,http://www.markmonitor.com
escholarship.org/uc/item/5xt4952c,benign,2002-10-30 07:07:29,2024-09-30 22:19:32,2025-10-30 07:07:29,escholarship.org,"['http://registrar.amazon.com', 'https://registrar.amazon.com']"
songfacts.com/detail.php?id=13410,benign,1999-08-09 18:04:00,2022-11-29 09:21:14,2030-08-09 18:03:50,SONGFACTS.COM,http://networksolutions.com
casamanana.org/education/blba/,benign,1999-08-16 23:11:54,2023-06-02 19:13:20,2027-08-16 23:11:39,casamanana.org,http://www.networksolutions.com
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign,1999-09-29 06:03:23,2024-08-28 10:30:02,2025-09-29 06:03:14,HOLLYWOODLIFE.COM,http://www.markmonitor.com
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing,2023-07-25 20:01:37,2024-07-23 04:35:34,2025-07-25 20:01:37,MARKETINGBYINTERNET.COM,http://www.registermatrix.com
en.wikipedia.org/wiki/North_Dakota,benign,2001-01-13 00:12:14,2024-12-17 09:19:05,2026-01-13 00:12:14,wikipedia.org,http://www.markmonitor.com
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign,1999-02-04 05:00:00,2025-01-02 15:45:58,2026-01-02 04:59:59,SHEKNOWS.COM,"['http://www.godaddy.com', 'https://www.godaddy.com']"
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign,2019-07-07 18:36:14,2024-07-10 16:25:58,2025-07-07 18:36:14,PERFECTPEOPLE.NET,http://www.dynadot.com
media.caltech.edu/press_releases/13186,benign,1986-01-06 00:00:00,,2027-07-31 00:00:00,CALTECH.EDU,
wikiobits.com/Obits/TonyProudfoot,benign,2006-08-09 18:00:16,2025-03-31 08:00:44,2026-03-31 03:59:59,WIKIOBITS.COM,http://www.rebel.com
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign,1998-11-04 05:00:00,2024-10-02 09:11:02,2025-11-03 05:00:00,RIVALS.COM,http://www.markmonitor.com
